,method,iterations,arms (k),reward,time (ms)
0,RA,100.0,1.0,34169.28115625797,52.032000000000004
1,TS,100.0,1.0,58042.69010769378,55.969
2,EG,100.0,1.0,55174.01410644603,31.966
3,UCB,100.0,1.0,58010.555448448285,50.999
4,UCB_PC,100.0,1.0,57910.41532138677,64.031
5,RA,500.0,1.0,34041.89871054978,48.973000000000006
6,TS,500.0,1.0,57775.49420633692,55.999
7,EG,500.0,1.0,55603.454276568045,30.967000000000002
8,UCB,500.0,1.0,56261.53615679194,53.032000000000004
9,UCB_PC,500.0,1.0,58052.77627083737,63.998
10,RA,1000.0,1.0,35042.70858453865,49.029999999999994
11,TS,1000.0,1.0,56065.7276430262,53.996
12,EG,1000.0,1.0,54296.85704788096,30.0
13,UCB,1000.0,1.0,57938.64229681012,50.031
14,UCB_PC,1000.0,1.0,57880.847860325535,60.966
15,RA,2000.0,1.0,34303.74410114367,49.998
16,TS,2000.0,1.0,57964.04751541933,59.031
17,EG,2000.0,1.0,55055.24072968914,35.964999999999996
18,UCB,2000.0,1.0,58097.818191328166,57.998
19,UCB_PC,2000.0,1.0,57918.31073271979,77.0
20,RA,5000.0,1.0,34812.527416954414,57.969
21,TS,5000.0,1.0,58003.71396263597,60.998999999999995
22,EG,5000.0,1.0,55032.84834165148,33.032
23,UCB,5000.0,1.0,58003.20292145486,57.998
24,UCB_PC,5000.0,1.0,58016.40715022077,72.999
25,RA,10000.0,1.0,33963.39421654667,54.997
26,TS,10000.0,1.0,57415.05128801293,65.039
27,EG,10000.0,1.0,55059.68191654486,34.999
28,UCB,10000.0,1.0,56024.40826039705,53.967
29,UCB_PC,10000.0,1.0,57865.35686382945,61.998
30,RA,100.0,10.0,34855.38622642879,49.029
31,TS,100.0,10.0,57788.873531898986,55.001000000000005
32,EG,100.0,10.0,54921.58183070318,30.959
33,UCB,100.0,10.0,57954.10968046198,52.031
34,UCB_PC,100.0,10.0,57972.60268720014,61.001
35,RA,500.0,10.0,34313.34133601171,47.993
36,TS,500.0,10.0,58027.85807864655,56.032
37,EG,500.0,10.0,55689.34202645709,29.967000000000002
38,UCB,500.0,10.0,57920.45183560754,51.998000000000005
39,UCB_PC,500.0,10.0,58165.39753760989,61.998
40,RA,1000.0,10.0,35737.75966357567,48.998
41,TS,1000.0,10.0,57957.671484828265,55.157
42,EG,1000.0,10.0,53759.756557405795,30.998
43,UCB,1000.0,10.0,58047.13628244931,51.729
44,UCB_PC,1000.0,10.0,57851.2869708109,62.0
45,RA,2000.0,10.0,34063.2647708687,48.998
46,TS,2000.0,10.0,57712.33987957901,56.04
47,EG,2000.0,10.0,54114.60712231536,31.712999999999997
48,UCB,2000.0,10.0,57881.82598544616,53.72
49,UCB_PC,2000.0,10.0,58033.63675721842,64.03200000000001
50,RA,5000.0,10.0,34675.0102006773,48.999
51,TS,5000.0,10.0,58105.87968112364,56.031
52,EG,5000.0,10.0,55448.71832903868,32.0
53,UCB,5000.0,10.0,58184.74459390513,53.327
54,UCB_PC,5000.0,10.0,57747.243176773154,62.965999999999994
55,RA,10000.0,10.0,34593.71707505925,47.999
56,TS,10000.0,10.0,57938.19046101966,56.999
57,EG,10000.0,10.0,55342.73771334918,31.32
58,UCB,10000.0,10.0,57918.161594219615,51.028999999999996
59,UCB_PC,10000.0,10.0,57770.183653106375,61.001
60,RA,100.0,100.0,35213.723959897376,48.0
61,TS,100.0,100.0,57970.342538186764,56.925000000000004
62,EG,100.0,100.0,55721.94196437311,30.998
63,UCB,100.0,100.0,58077.29498983243,53.168
64,UCB_PC,100.0,100.0,58069.00070139744,62.92100000000001
65,RA,500.0,100.0,34658.029988182585,48.235
66,TS,500.0,100.0,57756.15048981469,55.07
67,EG,500.0,100.0,54787.200447867115,30.998
68,UCB,500.0,100.0,57876.08314052375,52.998000000000005
69,UCB_PC,500.0,100.0,57876.675470043505,61.025999999999996
70,RA,1000.0,100.0,33801.146295106766,48.669999999999995
71,TS,1000.0,100.0,57766.74647284275,58.998000000000005
72,EG,1000.0,100.0,55823.87627181094,32.001000000000005
73,UCB,1000.0,100.0,57733.361319476426,52.001
74,UCB_PC,1000.0,100.0,57842.8463947934,68.765
75,RA,2000.0,100.0,34471.62126829965,56.972
76,TS,2000.0,100.0,55786.36864475922,62.001
77,EG,2000.0,100.0,55686.72436468102,31.822999999999997
78,UCB,2000.0,100.0,58069.347399846905,51.413000000000004
79,UCB_PC,2000.0,100.0,56414.82223921112,64.029
80,RA,5000.0,100.0,34290.28641111291,48.537
81,TS,5000.0,100.0,58165.89743865205,55.800000000000004
82,EG,5000.0,100.0,55479.911279493346,30.233
83,UCB,5000.0,100.0,57927.87905500574,50.913
84,UCB_PC,5000.0,100.0,57765.93111666882,61.383
85,RA,10000.0,100.0,34200.90073001553,46.999
86,TS,10000.0,100.0,57804.507288235,54.884
87,EG,10000.0,100.0,55064.328093106895,30.810000000000002
88,UCB,10000.0,100.0,58148.887656131206,54.997
89,UCB_PC,10000.0,100.0,57977.707860305156,62.999
90,RA,100.0,1000.0,34618.21139917996,48.0
91,TS,100.0,1000.0,58138.03412818113,55.854
92,EG,100.0,1000.0,54902.532709555555,29.998
93,UCB,100.0,1000.0,57583.119969083586,50.999
94,UCB_PC,100.0,1000.0,58019.69104524573,62.001
95,RA,500.0,1000.0,34235.54058480033,46.967
96,TS,500.0,1000.0,58003.488757656385,56.999
97,EG,500.0,1000.0,55582.40697054695,30.998
98,UCB,500.0,1000.0,58034.182341716514,49.998
99,UCB_PC,500.0,1000.0,56023.99261258682,64.121
100,RA,1000.0,1000.0,34730.50957168875,49.224
101,TS,1000.0,1000.0,58080.7807726507,56.001000000000005
102,EG,1000.0,1000.0,55381.95459738156,30.031
103,UCB,1000.0,1000.0,58049.01903792773,50.967
104,UCB_PC,1000.0,1000.0,57897.070010645526,61.031
105,RA,2000.0,1000.0,34675.86947277843,47.0
106,TS,2000.0,1000.0,57967.563535233545,54.999
107,EG,2000.0,1000.0,56052.804715700404,30.033
108,UCB,2000.0,1000.0,58003.2886551545,51.006
109,UCB_PC,2000.0,1000.0,57812.022743540314,63.001000000000005
110,RA,5000.0,1000.0,34803.568327243025,48.998
111,TS,5000.0,1000.0,58036.0780990425,56.97
112,EG,5000.0,1000.0,54851.93953966861,30.999
113,UCB,5000.0,1000.0,58208.34417794182,49.998
114,UCB_PC,5000.0,1000.0,57997.12628287954,62.031000000000006
115,RA,10000.0,1000.0,35100.53189451943,48.741
116,TS,10000.0,1000.0,58067.88639679016,62.88199999999999
117,EG,10000.0,1000.0,55463.416792918826,35.033
118,UCB,10000.0,1000.0,58060.88459382417,60.0
119,UCB_PC,10000.0,1000.0,57726.70242876404,71.002
120,RA,100.0,5000.0,35146.598142016635,57.029
121,TS,100.0,5000.0,57872.51600414933,65.968
122,EG,100.0,5000.0,55902.070254374616,33.995999999999995
123,UCB,100.0,5000.0,57734.64917743045,54.999
124,UCB_PC,100.0,5000.0,57880.7450135462,67.0
125,RA,500.0,5000.0,34907.613361253294,54.132
126,TS,500.0,5000.0,57909.59051303342,59.254
127,EG,500.0,5000.0,55360.88433770795,33.0
128,UCB,500.0,5000.0,57696.19601700718,54.001
129,UCB_PC,500.0,5000.0,57660.635587065655,64.999
130,RA,1000.0,5000.0,35254.69772774354,52.998999999999995
131,TS,1000.0,5000.0,57872.35440514121,56.881
132,EG,1000.0,5000.0,54658.12736037642,30.002000000000002
133,UCB,1000.0,5000.0,58035.508206854465,49.999
134,UCB_PC,1000.0,5000.0,57893.11267739731,62.967999999999996
135,RA,2000.0,5000.0,34416.59774930318,47.809
136,TS,2000.0,5000.0,57912.59012867054,58.027
137,EG,2000.0,5000.0,54994.37137871395,32.973
138,UCB,2000.0,5000.0,58018.871513996324,52.028999999999996
139,UCB_PC,2000.0,5000.0,57910.70579779264,61.996
140,RA,5000.0,5000.0,34335.704869569214,48.0
141,TS,5000.0,5000.0,57825.48699187944,55.998
142,EG,5000.0,5000.0,55031.53348886393,30.03
143,UCB,5000.0,5000.0,58064.978011151885,50.965
144,UCB_PC,5000.0,5000.0,57610.402891714984,61.031
145,RA,10000.0,5000.0,35564.50038970607,50.168
146,TS,10000.0,5000.0,56332.21427389568,55.012
147,EG,10000.0,5000.0,55470.77986162878,29.968
148,UCB,10000.0,5000.0,57942.29450775649,55.035000000000004
149,UCB_PC,10000.0,5000.0,58189.64843330141,64.999
150,RA,100.0,10000.0,34619.88516438097,48.532
151,TS,100.0,10000.0,57771.516717579405,54.997
152,EG,100.0,10000.0,55402.53677704708,29.804000000000002
153,UCB,100.0,10000.0,57821.21393284194,51.992
154,UCB_PC,100.0,10000.0,57903.61377473173,61.879999999999995
155,RA,500.0,10000.0,34633.6303055085,50.344
156,TS,500.0,10000.0,58006.36391189026,57.545
157,EG,500.0,10000.0,55524.661616342804,31.532999999999998
158,UCB,500.0,10000.0,57919.79960877951,51.414
159,UCB_PC,500.0,10000.0,57762.25730085082,63.435
160,RA,1000.0,10000.0,34729.452123828196,48.367
161,TS,1000.0,10000.0,58000.32849331442,54.996
162,EG,1000.0,10000.0,55058.00183994963,28.999
163,UCB,1000.0,10000.0,57887.2321228864,51.007999999999996
164,UCB_PC,1000.0,10000.0,57808.06105247669,61.997
165,RA,2000.0,10000.0,34576.45908945587,47.0
166,TS,2000.0,10000.0,57958.86085183684,54.999
167,EG,2000.0,10000.0,54373.79200071067,29.966
168,UCB,2000.0,10000.0,55916.85647278907,53.001
169,UCB_PC,2000.0,10000.0,58121.85775757073,66.04400000000001
170,RA,5000.0,10000.0,34528.92617995942,47.564
